Presenter,Type,Topic,Event,Year,Date,Link(s)
Michael Ducy,Talk,Changing the Behavior of IT,Warsaw,2014,2014.09.25,
Joachim Bauernberge,Talk,DevOps in Telecoms - is it possible?,Warsaw,2014,2014.09.25,
Matt Harasymczuk,Talk,"Branch Management: Continuous Integration, Change and Release Management at No Cost",Warsaw,2014,2014.09.25,
Andrzej Grzesik,Talk,"Cheffing a department, one Dev at a time",Warsaw,2014,2014.09.25,
Pavel Stepanov,Talk,Improving developers experience in interaction with CI systems,Warsaw,2014,2014.09.25,
Jan Svoboda,Talk,Building Deployment Automation Platforms for Continuous Delivery,Warsaw,2014,2014.09.25,
Rafał Kuć,Talk,From zero to hero - easy log centralization with Logstash and Elasticsearch,Warsaw,2014,2014.09.25,
Grzegorz Nosek,Talk,Soviet military hardware primer for devops,Warsaw,2014,2014.09.25,
Piotr Szwed,Talk,DevOps Knowledge Base,Warsaw,2014,2014.09.25,
Roman Pavlyuk,Talk,DevOps at Home: making it working,Warsaw,2014,2014.09.25,
Alex Lomau,Talk,Cloud Foundry: How it’s cooked,Warsaw,2014,2014.09.25,
Zoltan Toth,Talk,How to build a petabyte-scale data infrastructure,Warsaw,2014,2014.09.25,
Jennifer Davis,Talk,From Hero to Zero,Boston,2014,2014.08.18,
Nikolas Katsimpras ,Talk,The Power of Conflict,Boston,2014,2014.08.18,
John Ryding,Talk,The Value of Feedback,Boston,2014,2014.08.18,
Kelsey Hightower,Talk,"Intro to CoreOS: Get Ahead of The Curve, New Ways to Deploy and Manage Applications at Scale",Boston,2014,2014.08.18,
Kevin Amorin,Talk,Our long road to self service cloud management & deployment,Boston,2014,2014.08.18,
Dave Josephson,Talk,Metrics Driven Development,Boston,2014,2014.08.18,
Anthony Spring,Talk,Infrastructure Testing: Grey Matter,Boston,2014,2014.08.18,
Andrew Kenney,Talk,Running Graphite at Scale,Boston,2014,2014.08.18,
Sidney Dekker,Talk,"System Failure, Human Error: Who's",Brisbane,2014,2014.07.25,
Michael Ducy,Talk,Why You're Destroying DevOps,Brisbane,2014,2014.07.25,
Karl Chu,Talk,Getting Devs to Own Their Ops,Brisbane,2014,2014.07.25,
Fabian Iannarella,Talk,Getting Devs to Own Their Ops,Brisbane,2014,2014.07.25,
Matt Callanan,Talk,DevOps @ Wotif: Making Easy = Right ,Brisbane,2014,2014.07.25,
Alexandra Spillane,Talk,DevOps @ Wotif: Making Easy = Right ,Brisbane,2014,2014.07.25,
Will Thames,Talk,Designing and Developing Software for Operations,Brisbane,2014,2014.07.25,
David Jorm,Talk,Managing security updates under the DevOps model ,Brisbane,2014,2014.07.25,
Sam Newman,Talk,Transforming ThoughtWorks' Internal Systems,Brisbane,2014,2014.07.25,
Mujtaba Hussain,Talk,"Acquisition, ownership and migration of legacy applications",Brisbane,2014,2014.07.25,
Sascha Bates,Talk,Magic Pixie Dust Not Included ,Minneapolis,2014,2014.07.17,
Dan Slimmon,Talk,Conway's Law: The Skeleton Of Devops ,Minneapolis,2014,2014.07.17,
Heather O'Sullivan,Talk,DevOps at TGT ,Minneapolis,2014,2014.07.17,
Ross Clanton,Talk,DevOps at TGT ,Minneapolis,2014,2014.07.17,
Ben Hughes,Talk,Handmade security at Etsy ,Minneapolis,2014,2014.07.17,
Dave Stagner,Ignite,The Seven Habits of Highly Effective DevOps,Minneapolis,2014,2014.07.17,
Seth Vargo ,Ignite,Living with OCD ,Minneapolis,2014,2014.07.17,
Nivia Henry ,Ignite,"First you build the team, then they build the things",Minneapolis,2014,2014.07.17,
Andy Fleener ,Ignite,Rub Some Ops On It,Minneapolis,2014,2014.07.17,
Jasmine Russell,Ignite,Clash,Minneapolis,2014,2014.07.17,
Jeff Sussna,Talk,Promising Digital Service Quality ,Minneapolis,2014,2014.07.17,
Katherine Daniels,Talk,Devops Is Dead (Long Live Devops) ,Minneapolis,2014,2014.07.17,
Ian Malpass,Talk,Fallible humans: dealing with failure in the absence of scapegoats ,Minneapolis,2014,2014.07.17,
Patrick Debois,Talk,Five Years of DevOpsDays,Minneapolis,2014,2014.07.17,
Erik Sowa,Ignite,Front-end ops and the OODA loop: A decision cycle time strategy for winning in a hostile internet environment,Silicon Valley,2014,2014.06.27,
Seema Jethani,Ignite,From classic to Contemporary: An approach to tools and technology choices,Silicon Valley,2014,2014.06.27,
Matt Ho,Ignite,Docker and Serf: DevOps Dynamic Duo,Silicon Valley,2014,2014.06.27,
Aater Suleman,Ignite,Quick and Easy Multi-tenancy using Docker,Silicon Valley,2014,2014.06.27,
Jason Walker,Ignite,LEGOOps,Silicon Valley,2014,2014.06.27,
Ho Ming Li,Ignite,5 Common Barriers when Introducing Devops,Silicon Valley,2014,2014.06.27,
,Openspaces,CoreOS,Silicon Valley,2014,2014.06.27,
,Openspaces,Enterprise Devops/ITIL,Silicon Valley,2014,2014.06.27,
,Openspaces,6 weeks in now what? Devops Strategy,Silicon Valley,2014,2014.06.27,
,Openspaces,Ticketing Systems,Silicon Valley,2014,2014.06.27,
,Openspaces,Version Control,Silicon Valley,2014,2014.06.27,
,Openspaces,Containers,Silicon Valley,2014,2014.06.27,
,Openspaces,CD Pipeline/Workflow/Deploy,Silicon Valley,2014,2014.06.27,
,Openspaces,Moving from manual QA to automated QA,Silicon Valley,2014,2014.06.27,
,Openspaces,OUTAGES,Silicon Valley,2014,2014.06.27,
,Openspaces,Database Change Management,Silicon Valley,2014,2014.06.27,
,Openspaces,Women In devops,Silicon Valley,2014,2014.06.27,
,Openspaces,Woring for the Federal Gov,Silicon Valley,2014,2014.06.27,
,Openspaces,Skills Update/Transforming Ops into SRE,Silicon Valley,2014,2014.06.27,
,Openspaces,Kanban,Silicon Valley,2014,2014.06.27,
,Openspaces,"App Blueprints (CAMP, TOSCA, OpenOrchestration)",Silicon Valley,2014,2014.06.27,
,Openspaces,Developing Talent/Managing Engineers,Silicon Valley,2014,2014.06.27,
,Openspaces,Quanitify the Biz Value of devops,Silicon Valley,2014,2014.06.27,
,Openspaces,Managing Clusters/Cloud,Silicon Valley,2014,2014.06.27,
,Openspaces,Standups Paper or Digital,Silicon Valley,2014,2014.06.27,
,Openspaces,Werewolf!,Silicon Valley,2014,2014.06.27,
Dominica Degrandis,Talk,Why don’t we just say No?,Silicon Valley,2014,2014.06.27,
Adam Auerbach,Talk,How Capital One put Quality in the Driver seat thru DevOps and other best practices,Silicon Valley,2014,2014.06.27,
Sarah Goff-Dupont,Talk,Marketing: the devops comrades you didn't know you had,Silicon Valley,2014,2014.06.27,
Randy Shoup,Talk,The Game of Operations and the Operation of Games,Silicon Valley,2014,2014.06.27,
Bridget Kromhout,Talk,How I Learned to Stop Worrying and Love DevOps,Silicon Valley,2014,2014.06.27,
Mercedes Coyle,Talk,Onboarding and Mentoring Apprentices with DevOps Culture,Silicon Valley,2014,2014.06.27,
Mark Burgess,Talk,The Future of Configuration Management (update),Silicon Valley,2014,2014.06.27,
James Urquhart,Talk,DevOps as Relationship Management: How to keep systems of services happy,Silicon Valley,2014,2014.06.27,
Tom Duffield,Ignite,Tips on being an Introvert in an extrovert's world,Silicon Valley,2014,2014.06.27,
Patrick Hoolboom,Ignite,10 Reasons Why DevOps is the Greatest Shift in the IT Industry,Silicon Valley,2014,2014.06.27,
Mike Place,Ignite,Scalable container management,Silicon Valley,2014,2014.06.27,
John Willis,Ignite,From Deming to Devops,Silicon Valley,2014,2014.06.27,
Tanay Nagjee,Ignite,Building QA into the Continuous Delivery Process – a Pipeline Approach,Silicon Valley,2014,2014.06.27,
Cædman Oakley,Ignite,Application deployment and management with Atlantis,Silicon Valley,2014,2014.06.27,
Mark Hinkle,Talk,"Hacking IT, Culture over Code - Bringing Devops into your Organization",Amsterdam,2014,2014.06.19,
Jos Houtman,Talk,What would you do if you could do it all over without getting fired,Amsterdam,2014,2014.06.19,
Guido Bakker,Talk,What would you do if you could do it all over without getting fired,Amsterdam,2014,2014.06.19,
Niels van de Wall,Talk,What would you do if you could do it all over without getting fired,Amsterdam,2014,2014.06.19,
Jeffrey Snover,Talk,Desired State Configuration and Microsoft Windows,Amsterdam,2014,2014.06.19,
Jan Joost Bouwman,Talk,ITIL and DevOps at war in the Enterprise,Amsterdam,2014,2014.06.19,
Mark Heistek,Talk,ITIL and DevOps at war in the Enterprise,Amsterdam,2014,2014.06.19,
Chris Jackson,Talk,Monitoring at Service Provider Scale,Amsterdam,2014,2014.06.19,
 John Willis ,Talk,Devops: State of the union,Amsterdam,2014,2014.06.19,
Leslie Hawthorn,Talk,"DevOps: For Happier, More Productive People",Amsterdam,2014,2014.06.19,
Michael Ducy,Talk,Improving Goat Production: A manual for Development and Operations Workers,Amsterdam,2014,2014.06.19,
Mark Coleman,Talk,The Power to Change,Amsterdam,2014,2014.06.19,
Steven Meunier,Talk,Building a Loosely Coupled Toolchain with Rundeck and Puppet§,Amsterdam,2014,2014.06.19,
Kevin Behr,Talk,First In Last Out ,Pittsburgh,2014,2014.05.29,
Carol Nichols,Talk,How is ChatOps formed?,Pittsburgh,2014,2014.05.29,
Nikolas Katsimpras,Talk,Harnessing the Power of Conflict ,Pittsburgh,2014,2014.05.29,
Pete Cheslock,Talk,How to Fail With One Weird Trick ,Pittsburgh,2014,2014.05.29,
Eric Windisch,Talk,Deploying with Docker ,Pittsburgh,2014,2014.05.29,
Cornelia Davis,Talk,No Conditionals Allowed ,Pittsburgh,2014,2014.05.29,
Brian Nuszkowski ,Talk,Handling The Rush ,Pittsburgh,2014,2014.05.29,
Jennifer Davis ,Talk,From Hero to Zero ,Pittsburgh,2014,2014.05.29,
Todd Underwood,Talk,Reliability Engineering ,Pittsburgh,2014,2014.05.29,
Andrew Clay Shafer,Talk,YOU ARE NOT DEVOPS - learn you the business for great good,Austin,2014,2014.05.05,
Matt Ray,Talk,Navigating Organizational Change: Chef's Operations Maturity Model,Austin,2014,2014.05.05,
Matthew Barlow,Talk,Roll Your Own StatsD and Graphite Dashboard,Austin,2014,2014.05.05,
Arup Chakrabarti,Talk,Who Watches the Watchmen?,Austin,2014,2014.05.05,
Mike McNeil,Talk,Intro to Sails.js,Austin,2014,2014.05.05,
Christian Beedgen,Talk,Scaling a Start-up DevOps Team to 10x While Scaling the System 50x,Austin,2014,2014.05.05,
Stefan Zier,Talk,Scaling a Start-up DevOps Team to 10x While Scaling the System 50x,Austin,2014,2014.05.05,
Aater Suleman,Talk,Using Docker to Improve Web Developer Productivity LIMITED,Austin,2014,2014.05.05,
Claire Hunsaker,Talk,Cloud Marketing 101: How to Market Your Cloud Product ,Austin,2014,2014.05.05,
Jeff Carapetyan,Talk,"The Five Stages of Chef Grief: My First 6 months with Chef, and Getting Around the Pitfalls LIMITED",Austin,2014,2014.05.05,
Scott Baldwin,Ignite,I Just Want to be Happy,Austin,2014,2014.05.05,
RC Johnson,Ignite,"Console Access For All 15,000 Clients? Are You Crazy?",Austin,2014,2014.05.05,
Joe Gardner,Ignite,Configuration Management... How Much More Can You Improve?,Austin,2014,2014.05.05,
Prabhakar Gopalan,Ignite,O'Crap. It's Culture!,Austin,2014,2014.05.05,
Lee Thompson,Ignite,Toolchains on OpenStack,Austin,2014,2014.05.05,
Roman Pavlyuk,Ignite,"Continuous Integration, Continuous Delivery... And/Or?",Austin,2014,2014.05.05,
Ernest Mueller,Openspaces,Opening session,Austin,2014,2014.05.05,
Michael Coté,Talk,Second Day Keynote - When is this DevOps Unicorn Going to Sprout Wings and Fly?,Austin,2014,2014.05.05,
Alex Corley,Talk,Instant Ops - From 0 to Production in a Single Day,Austin,2014,2014.05.05,
Joseph A P Holsten,Talk, Saturday Night Disco on Monday Morning ,Austin,2014,2014.05.05,
Colin McNamara,Talk,"ITIL Isn't Evil, Most People Who Implement It Are ",Austin,2014,2014.05.05,
Werner Mendizabal,Talk,Dockerfy Your CI/CD,Austin,2014,2014.05.05,
Ken Savich,Talk,Dockerfy Your CI/CD,Austin,2014,2014.05.05,
Shaun Mouton,Talk,DevOps Done Us Wrong,Austin,2014,2014.05.05,
Brian Nuszkowski,Talk,Handling The Rush ,Austin,2014,2014.05.05,
"Karthik Gaekwad, James Wickett",Ignite,Keep Devops Weird,Austin,2014,2014.05.05,
Matt Eldridge,Talk,A node by any other name should smell just as sweet,Austin,2014,2014.05.05,
Byron Miller,Talk,Sell Devops the Collaborative Way,Austin,2014,2014.05.05,
Everett Toews,Talk,Walk n' Doc: Enable Walkup Contributions to Your Website Documentation,Austin,2014,2014.05.05,
Ernest Mueller,Talk,The DevOps Centipede,Austin,2014,2014.05.05,
Tyler Turk,Talk,Ansible Inventories,Austin,2014,2014.05.05,
Matt Ray,Talk,Nine Principles for Navigating Change,Austin,2014,2014.05.05,
Boyd Hemphill,Talk,The Director of Devops,Austin,2014,2014.05.05,
Ernest Mueller,Openspaces,Opening session,Austin,2014,2014.05.05,
Andrew Clay Shafer,Talk,What Devops means to me ,Ljubljana,2014,2014.04.04,
Tomaz Zaman,Talk,Continuous deployment of single page applications -,Ljubljana,2014,2014.04.04,
Marko Čelan,Talk,Monitoring ecosystem at Zemanta - ,Ljubljana,2014,2014.04.04,
Karoly Kamaras,Talk,Continuous delivery for desktop applications - Release from the pub - ,Ljubljana,2014,2014.04.04,
Jose Roca,Talk,Scaling a moving target: Making your CI scale and test your CI infrastructure - ,Ljubljana,2014,2014.04.04,
Andrey Adamovich,Talk,Groovy DevOps in the Cloud -,Ljubljana,2014,2014.04.04,
Jure Koren,Talk,Next Generation File Systems - ,Ljubljana,2014,2014.04.04,
Alon Becker,Talk,Anatomy of a Deployment Pipeline in a Hybrid (Windows/Linux) Environment - ,Ljubljana,2014,2014.04.04,
Diego Garber,Talk,Continuous Delivery in One year project - ,Ljubljana,2014,2014.04.04,
Avishai Ish-Shalom,Talk,WebOps' disaster survival guide,Ljubljana,2014,2014.04.04,
Ranjib Dey,Talk,"Attaining Resiliency : Culture, Tools and Practices",India,2013,2013.11.16,
Ravikanth Chaganti,Talk,Configuration management gets built into Windows Operating System,India,2013,2013.11.16,
Sharath,Talk,Environments - Go Green,India,2013,2013.11.16,
Madhurranjan Mohan,Talk,Environments - Go Green,India,2013,2013.11.16,
Piyush Kumar,Talk,Importance of Centralized Event-or-Msg collection and NoSQL-or-BigData platform for Analysis,India,2013,2013.11.16,
